id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
123,2026-03-05,1,09:00:00,07:00:00,Red,W 53kg D,2026 VIRUS Weightlifting Series 1
124,2026-03-05,1,09:00:00,07:00:00,White,W 48kg B,2026 VIRUS Weightlifting Series 1
125,2026-03-05,1,09:00:00,07:00:00,Blue,M 32-48kg C,2026 VIRUS Weightlifting Series 1
126,2026-03-05,1,09:00:00,07:00:00,Stars,M 56-60kg C,2026 VIRUS Weightlifting Series 1
127,2026-03-05,1,09:00:00,07:00:00,Stripes,M 65kg C,2026 VIRUS Weightlifting Series 1
128,2026-03-05,2,11:00:00,09:00:00,Red,W 53kg C,2026 VIRUS Weightlifting Series 1
129,2026-03-05,2,11:00:00,09:00:00,White,W 30-36kg A,2026 VIRUS Weightlifting Series 1
130,2026-03-05,2,11:00:00,09:00:00,Blue,M 32-52kg B,2026 VIRUS Weightlifting Series 1
131,2026-03-05,2,11:00:00,09:00:00,Stars,M 56-60kg B,2026 VIRUS Weightlifting Series 1
132,2026-03-05,2,11:00:00,09:00:00,Stripes,M 65kg B,2026 VIRUS Weightlifting Series 1
133,2026-03-05,3,13:00:00,11:00:00,Red,W 53kg B,2026 VIRUS Weightlifting Series 1
134,2026-03-05,3,13:00:00,11:00:00,White,M 36-52kg A,2026 VIRUS Weightlifting Series 1
135,2026-03-05,3,13:00:00,11:00:00,Blue,W 63kg J,2026 VIRUS Weightlifting Series 1
136,2026-03-05,3,13:00:00,11:00:00,Stars,W 48kg A,2026 VIRUS Weightlifting Series 1
137,2026-03-05,3,13:00:00,11:00:00,Stripes,W 40-44kg A,2026 VIRUS Weightlifting Series 1
138,2026-03-05,4,15:00:00,13:00:00,Red,M 79kg I,2026 VIRUS Weightlifting Series 1
139,2026-03-05,4,15:00:00,13:00:00,White,W 58kg I,2026 VIRUS Weightlifting Series 1
140,2026-03-05,4,15:00:00,13:00:00,Blue,W 63kg I,2026 VIRUS Weightlifting Series 1
141,2026-03-05,4,15:00:00,13:00:00,Stars,M 56-60kg A,2026 VIRUS Weightlifting Series 1
142,2026-03-05,4,15:00:00,13:00:00,Stripes,M 65+kg D + 71kg D,2026 VIRUS Weightlifting Series 1
143,2026-03-05,5,17:00:00,15:00:00,Red,M 79kg H,2026 VIRUS Weightlifting Series 1
144,2026-03-05,5,17:00:00,15:00:00,White,W 58kg H,2026 VIRUS Weightlifting Series 1
